"Age","Sex","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"56","Males","303624","386795","384614","391557","373156","369328","353747","353028","357278","371033","376209","382250","388391","390470","408451","416879","429500","437987"
"56","Females","316897","402532","398449","407521","388456","386128","371360","371103","374195","393238","398011","404470","412007","414508","430989","440114","452738","460125"
"56","Total","620521","789327","783063","799078","761612","755456","725107","724131","731473","764271","774220","786720","800398","804978","839440","856993","882238","898112"
"57","Males","311363","302262","385746","383681","390110","371721","367886","352273","351302","355720","369584","374687","380475","386480","388218","406309","414957","427661"
"57","Females","326841","316371","403026","399049","407359","388218","386054","371332","371019","374737","393072","397821","403875","410901","413339","429802","438847","451673"
"57","Total","638204","618633","788772","782730","797469","759939","753940","723605","722321","730457","762656","772508","784350","797381","801557","836111","853804","879334"
"58","Males","315356","310098","300793","384503","382254","388384","370235","366470","350622","349470","353981","367904","372654","378206","384321","386041","404152","413040"
"58","Females","334764","326244","316320","403179","398942","407054","388409","385951","371003","371063","374446","392716","397037","402768","409442","411964","428318","437639"
"58","Total","650120","636342","617113","787682","781196","795438","758644","752421","721625","720533","728427","760620","769691","780974","793763","798005","832470","850679"
"59","Males","314309","313625","308524","299134","382853","380597","386674","368587","364549","348773","347559","352155","365765","370303","375701","381812","383847","401980"
"59","Females","337080","334181","326114","315927","402724","398676","407058","388570","385444","370683","370375","373954","391890","395793","401306","408019","410519","426948"
"59","Total","651389","647806","634638","615061","785577","779273","793732","757157","749993","719456","717934","726109","757655","766096","777007","789831","794366","828928"
"60","Males","317142","312448","311934","306795","297257","380949","378750","384666","366604","362209","346670","345464","349971","363367","367712","373298","379375","381659"
"60","Females","342897","336164","333825","325806","315168","402187","398634","407209","388245","384880","369855","369650","372885","390495","394070","399758","406350","409121"
"60","Total","660039","648612","645759","632601","612425","783136","777384","791875","754849","747089","716525","715114","722856","753862","761782","773056","785725","790780"
"61","Males","349088","314989","310251","309907","304815","295240","378777","376669","382337","364116","359837","344333","343019","347396","360467","365055","370517","376891"
"61","Females","379810","341841","335319","333183","325030","314166","401801","398578","406834","387857","383904","368874","368357","371465","388687","392325","397946","404686"
"61","Total","728898","656830","645570","643090","629845","609406","780578","775247","789171","751973","743741","713207","711376","718861","749154","757380","768463","781577"
"62","Males","345216","346471","312485","307862","307286","302549","292974","376473","374164","379688","361558","357018","341571","340215","344519","357654","362120","367913"
"62","Females","373870","378480","340670","334179","332085","324137","313273","401281","398165","406334","386823","382561","367457","366633","369593","386942","390419","396279"
"62","Total","719086","724951","653155","642041","639371","626686","606247","777754","772329","786022","748381","739579","709028","706848","714112","744596","752539","764192"
"63","Males","333879","342175","343399","309759","305216","304824","300216","290749","373839","371553","376695","358507","353753","338447","337144","341549","354672","359220"
"63","Females","364927","372755","377030","339406","332775","331023","323161","312377","400469","397477","405061","385196","380681","365549","364697","367794","385062","388661"
"63","Total","698806","714930","720429","649165","637991","635847","623377","603126","774308","769030","781756","743703","734434","703996","701841","709343","739734","747881"
"64","Males","307731","330833","338754","340142","306656","302330","302014","297684","287995","370853","368344","373061","355002","350234","334827","333942","338289","351583"
"64","Females","340237","363759","371531","375270","337812","331289","329745","322370","311253","399412","396227","403174","383108","378570","363373","362669","365709","383041"
"64","Total","647968","694592","710285","715412","644468","633619","631759","620054","599248","770265","764571","776235","738110","728804","698200","696611","703998","734624"
"65","Males","292289","304794","327434","335224","336566","303552","299525","299221","294812","285002","367416","364463","369118","351362","346468","331416","330506","335079"
"65","Females","329638","339141","362478","370117","373404","336232","329688","328561","321074","309954","397814","394031","400647","380743","376067","361030","360443","363608"
"65","Total","621927","643935","689912","705341","709970","639784","629213","627782","615886","594956","765230","758494","769765","732105","722535","692446","690949","698687"
"66","Males","298656","288470","301424","323834","331291","332664","300281","296414","296051","291815","281885","363027","360211","364783","347240","342570","327913","327125"
"66","Females","339492","327779","337787","361028","368160","371203","334244","328237","327098","319607","308433","395395","391258","397936","378044","373652","358837","358334"
"66","Total","638148","616249","639211","684862","699451","703867","634525","624651","623149","611422","590318","758422","751469","762719","725284","716222","686750","685459"
"67","Males","287723","294246","284153","297531","319595","326901","328524","296493","292785","292293","288280","278120","357958","355537","359887","342718","338185","324044"
"67","Females","332287","337314","325670","336316","358951","366025","368827","332433","326368","325189","317979","306228","392470","388513","394927","375279","371028","356386"
"67","Total","620010","631560","609823","633847","678546","692926","697351","628926","619153","617482","606259","584348","750428","744050","754814","717997","709213","680430"
"68","Males","280088","283133","289320","279574","293170","314914","322183","324201","292233","288700","288316","283968","273815","352690","350198","354712","338055","333553"
"68","Females","327011","329963","334836","323362","334367","356823","363578","366469","330172","324140","323143","315606","303629","389142","385242","391756","372375","368268"
"68","Total","607099","613096","624156","602936","627537","671737","685761","690670","622405","612840","611459","599574","577444","741832","735440","746468","710430","701821"
"69","Males","268085","274779","277868","284005","274546","288608","309955","317252","319144","287713","284304","283581","279245","269542","346792","344748","349193","333082"
"69","Females","322080","324493","327241","332101","320704","332305","354476","361096","363683","327531","321761","320373","312739","300848","385509","381850","388241","369230"
"69","Total","590165","599272","605109","616106","595250","620913","664431","678348","682827","615244","606065","603954","591984","570390","732301","726598","737434","702312"
"70","Males","266650","262273","268910","272377","278203","269358","283630","304583","311724","313720","282976","279070","278239","274323","264627","340863","338859","343511"
"70","Females","326356","319013","321349","324361","328968","317682","329875","352068","358198","360445","324795","318785","317047","309661","297725","381705","378008","384579"
"70","Total","593006","581286","590259","596738","607171","587040","613505","656651","669922","674165","607771","597855","595286","583984","562352","722568","716867","728090"
"71","Males","270106","260102","255734","262821","266279","272415","263806","278351","298766","305753","307960","277329","273468","272828","268994","259602","334372","332677"
"71","Females","338662","322608","315206","318004","321104","325689","314379","327317","349080","354816","357098","321350","315237","313693","306256","294474","377512","373966"
"71","Total","608768","582710","570940","580825","587383","598104","578185","605668","647846","660569","665058","598679","588705","586521","575250","554076","711884","706643"
"72","Males","242350","262663","252750","249060","255973","259950","266016","257907","272553","292447","299524","301397","271197","267714","266724","263439","254147","327411"
"72","Females","308947","334410","318217","311399","314310","317518","321952","311009","323938","345690","351158","352887","317400","311586","309729","302586","290767","373031"
