"Age","Sex","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"71","Females","312584","311603","315190","314513","311545","313760","313649","314825","313969","313375"
"71","Total","543861","541606","547408","553673","550451","555355","556602","562689","562308","563153"
"72","Males","144873","222335","221438","223605","230446","230254","232952","233926","239183","240286"
"72","Females","198840","306730","306046","309540","309113","306092","308586","308189","309503","309261"
"72","Total","343713","529065","527484","533145","539559","536346","541538","542115","548686","549547"
"73","Males","107701","138867","213147","212606","214781","221359","221262","223742","224940","230596"
"73","Females","151325","194740","300235","299981","303300","303259","300247","302816","302385","303817"
"73","Total","259026","333607","513382","512587","518081","524618","521509","526558","527325","534413"
"74","Males","110243","102682","132565","203735","203333","205539","212073","211727","214254","215784"
"74","Females","155247","147713","190224","293406","293580","296820","296884","293874","296800","296258"
"74","Total","265490","250395","322789","497141","496913","502359","508957","505601","511054","512042"
"75","Males","132366","104772","97574","126183","194087","194118","195945","202201","201941","204994"
"75","Females","190839","151201","143765","185240","285996","286805","289847","289873","287151","290337"
"75","Total","323205","255973","241339","311423","480083","480923","485792","492074","489092","495331"
"76","Males","158849","125204","99025","92325","119665","183976","184349","185879","192032","191876"
"76","Females","233395","185123","146742","139552","180073","278063","279372","282035","282390","279962"
"76","Total","392244","310327","245767","231877","299738","462039","463721","467914","474422","471838"
"77","Males","154594","149525","117696","93235","87101","112997","173561","174102","175753","181795"
"77","Females","232434","225568","178786","141985","135059","174590","269495","271164","273681","274509"
"77","Total","387028","375093","296482","235220","222160","287587","443056","445266","449434","456304"
"78","Males","146952","144662","139878","110073","87484","81659","106151","162694","163783","165655"
"78","Females","225105","223758","217131","172106","136818","130365","168516","260180","262398","265010"
"78","Total","372057","368420","357009","282179","224302","212024","274667","422874","426181","430665"
"79","Males","137398","136620","134257","130164","102410","81383","76192","99068","151957","153503"
"79","Females","215520","215705","214503","208214","165083","131229","125280","162116","250319","253202"
"79","Total","352918","352325","348760","338378","267493","212612","201472","261184","402276","406705"
"80","Males","116176","126762","125911","123912","120197","94825","75277","70349","91906","141121"
"80","Females","190784","205002","205226","204634","198882","157716","125398","119739","155244","239969"
"80","Total","306960","331764","331137","328546","319079","252541","200675","190088","247150","381090"
"81","Males","107234","106108","115743","115350","113783","110327","87217","69100","64708","84964"
"81","Females","181946","180457","193872","194550","194206","188998","149805","118958","113851","148109"
"81","Total","289180","286565","309615","309900","307989","299325","237022","188058","178559","233073"
"82","Males","88544","96981","96102","105047","105152","103604","100435","79423","62890","59346"
"82","Females","157825","170787","169377","182379","183487","183608","178412","141040","112156","107688"
"82","Total","246369","267768","265479","287426","288639","287212","278847","220463","175046","167034"
"83","Males","76074","79308","86856","86377","94650","95018","93703","90747","71622","57106"
"83","Females","143081","146521","158597","158153","170343","171935","172042","167048","131937","105201"
"83","Total","219155","225829","245453","244530","264993","266953","265745","257795","203559","162307"
"84","Males","59710","67114","70082","76862","76986","84620","85038","83351","81048","64170"
"84","Females","118978","131502","134772","146437","146616","158280","159732","159629","154996","122753"
"84","Total","178688","198616","204854","223299","223602","242900","244770","242980","236044","186923"
"85","Males","50491","52054","58386","61187","67573","67962","74669","75090","73502","71635"
"85","Females","105323","108049","119646","122933","134197","134951","145707","146746","146814","142994"
"85","Total","155814","160103","178032","184120","201770","202913","220376","221836","220316","214629"
"86","Males","40845","43474","44684","50306","53017","58729","59311","65026","65440","63978"
"86","Females","86189","94488","97021","107745","111234","121865","122687","132360","133539","133846"
"86","Total","127034","137962","141705","158051","164251","180594","181998","197386","198979","197824"
"87","Males","31765","34556","36747","37879","42795","45270","50390","50731","55778","56626"
"87","Females","73584","76020","83780","86054","95972","99612","109359","110157","118769","120366"
"87","Total","105349","110576","120527","123933","138767","144882","159749","160888","174547","176992"
"88","Males","24417","26419","28903","30620","31650","35967","38119","42474","43062","47297"
"88","Females","58304","63867","65979","73260","75672","84788","87854","96797","97909","105797"
"88","Total","82721","90286","94882","103880","107322","120755","125973","139271","140971","153094"
"89","Males","20140","20090","21590","23883","25232","26092","29679","31479","35345","36180"
"89","Females","49866","49846","54628","56550","63280","65660","73759","76285","84389","85854"
"89","Total","70006","69936","76218","80433","88512","91752","103438","107764","119734","122034"
"90","Males","14703","16110","16079","17342","19453","20279","21127","23998","25615","29272"
"90","Females","38589","41950","41742","45733","47870","53743","55887","62675","65363","72885"
"90","Total","53292","58060","57821","63075","67323","74022","77014","86673","90978","102157"
"91","Males","11211","11637","12661","12544","13744","15691","16074","16650","19198","20510"
"91","Females","30314","31906","34501","34257","37961","40001","44811","46773","52435","55306"
"91","Total","41525","43543","47162","46801","51705","55692","60885","63423","71633","75816"
"92","Males","7835","8710","8971","9632","9718","10647","12182","12400","12931","15007"
"92","Females","22829","24465","25752","28002","27719","31040","32691","36635","38372","43448"
"92","Total","30664","33175","34723","37634","37437","41687","44873","49035","51303","58455"
"93","Males","5628","5876","6583","6797","7281","7380","7980","9222","9499","9794"
"93","Females","16894","17954","19257","20264","22249","22361","24647","26182","29442","30940"
"93","Total","22522","23830","25840","27061","29530","29741","32627","35404","38941","40734"
"94","Males","3962","4081","4316","4972","4998","5416","5431","5835","6771","7131"
"94","Females","12639","13004","13764","14759","15807","17587","17545","19243","20530","23362"
"94","Total","16601","17085","18080","19731","20805","23003","22976","25078","27301","30493"
"95","Males","2677","2827","2943","3084","3545","3680","3951","3844","4200","4925"
"95","Females","8912","9530","9822","10334","11212","12254","13526","13339","14781","16128"
"95","Total","11589","12357","12765","13418","14757","15934","17477","17183","18981","21053"
"96","Males","1621","1903","2024","2048","2155","2571","2689","2856","2726","3023"
"96","Females","5837","6605","7019","7085","7661","8426","9256","10106","10011","11380"
"96","Total","7458","8508","9043","9133","9816","10997","11945","12962","12737","14403"
"97","Males","1024","1139","1292","1382","1370","1472","1715","1919","1976","1877"
"97","Females","4011","4185","4744","5035","5021","5501","6062","6724","7445","7456"
"97","Total","5035","5324","6036","6417","6391","6973","7777","8643","9421","9333"
"98","Males","701","706","749","864","942","868","951","1120","1404","1366"
"98","Females","2546","2818","2921","3258","3503","3545","3824","4291","4896","5554"
"98","Total","3247","3524","3670","4122","4445","4413","4775","5411","6300","6920"
"99","Males","463","471","460","503","572","639","560","587","792","1103"
"99","Females","1575","1719","1927","1994","2204","2410","2380","2580","3118","3533"
"99","Total","2038","2190","2387","2497","2776","3049","2940","3167","3910","4636"
"100 and over","Males","623","668","685","721","675","735","756","774","794","938"
"100 and over","Females","2229","2385","2588","2841","3015","3280","3621","3742","3971","4497"
"100 and over","Total","2852","3053","3273","3562","3690","4015","4377","4516","4765","5435"
"Total","Males","27553963","27572056","27576391","27568963","27560294","27566774","27571578","27563748","27562988","27576326"
"Total","Females","29218960","29249194","29266001","29275445","29283903","29309590","29332801","29345361","29360536","29384366"
"Total","Total","56772923","56821250","56842392","56844408","56844197","56876364","56904379","56909109","56923524","56960692"
