"Event year","Territory","1st order fertility rate","2nd order fertility rate","3rd order and more fertility rate","Total fertility rate","Notes"
"2010","Provincia Autonoma di Trento","082","060","023","165",""
"2010","Veneto","075","054","019","149",""
"2010","Friuli-Venezia Giulia","073","051","015","140",""
"2010","Emilia-Romagna","080","053","019","152",""
"2010","Toscana","076","048","015","140",""
"2010","Umbria","075","050","016","141",""
"2010","Marche","073","051","017","141",""
"2010","Lazio","077","052","015","144",""
"2010","Abruzzo","068","049","016","134",""
"2010","Molise","063","046","015","123",""
"2010","Campania","064","055","024","144",""
"2010","Puglia","063","052","018","133",""
"2010","Basilicata","059","046","015","120",""
"2010","Calabria","061","050","020","132",""
"2010","Sicilia","065","055","022","142",""
"2010","Sardegna","063","042","014","118",""
"2010","Italia","073","053","019","144",""
"2011","Piemonte","076","052","016","143",""
"2011","Valle d'Aosta/Vallée d'Aoste","078","061","021","160",""
"2011","Liguria","073","047","013","133",""
"2011","Lombardia","077","055","020","152",""
"2011","Trentino-Alto Adige/Südtirol","073","060","028","161",""
"2011","Provincia Autonoma di Bolzano","069","060","032","161",""
"2011","Provincia Autonoma di Trento","076","061","025","161",""
"2011","Veneto","074","054","019","147",""
"2011","Friuli-Venezia Giulia","074","050","015","139",""
"2011","Emilia-Romagna","077","054","019","149",""
"2011","Toscana","075","048","015","138",""
"2011","Umbria","074","050","015","139",""
"2011","Marche","073","052","018","142",""
"2011","Lazio","078","052","016","146",""
"2011","Abruzzo","068","049","015","132",""
"2011","Molise","060","047","013","119",""
"2011","Campania","066","052","024","141",""
"2011","Puglia","063","051","017","131",""
"2011","Basilicata","059","045","015","119",""
"2011","Calabria","061","048","020","129",""
"2011","Sicilia","064","054","023","141",""
"2011","Sardegna","062","042","013","117",""
"2011","Italia","072","052","019","142",""
"2012","Piemonte","076","052","016","143",""
"2012","Valle d'Aosta/Vallée d'Aoste","081","056","020","157",""
"2012","Liguria","076","049","014","138",""
"2012","Lombardia","076","054","020","151",""
"2012","Trentino-Alto Adige/Südtirol","074","061","029","164",""
